Feed ID,Dataset ID,Service Date Range Start,Service Date Range End
tfs-410,anaheim-resort-transportation/410/20180302,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180225,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180221,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180217,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180214,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20180209,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20180119,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20180118,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20171230,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20171222,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20171203,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171128,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171116,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171107,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171021,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171018,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171001,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170928,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170924,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170907-2,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170907,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170906,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170815,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170731,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170722,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170707,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170621,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170601,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170531,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170510,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170420,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170411,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170407,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170327,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170320,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170312,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170217,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170215,20161002,20180101
tfs-410,anaheim-resort-transportation/410/20170118,20161002,20180101
tfs-410,anaheim-resort-transportation/410/20161230,20150101,20170430
tfs-410,anaheim-resort-transportation/410/20161211,20150101,20170430
tfs-410,anaheim-resort-transportation/410/20161125,20150101,20170430
tfs-410,anaheim-resort-transportation/410/20161114,20150101,20170430
tfs-410,anaheim-resort-transportation/410/20161021,20150101,20170430
tfs-410,anaheim-resort-transportation/410/20161020,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20161012,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20161001,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160909,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160826,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160809,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160715,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160711,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160625,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160527,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160524,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160521,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160517,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160429,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160428,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160426,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160424,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160405,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160404,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160401,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160330,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160315,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160312,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160229,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160218,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160215,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160204,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160128,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160125,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160119,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160112,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20160108,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20151221,20150101,20170101
