Feed Stable ID,Catalog ID,Feature
mdb-1826,us-iowa-bettendorf-transit-gtfs-1826,Wheelchair Accessibility
mdb-1826,us-iowa-bettendorf-transit-gtfs-1826,Location Types
mdb-1826,us-iowa-bettendorf-transit-gtfs-1826,Continuous Stops
mdb-1883,fr-auvergne-rhone-alpes-tac-gtfs-1883,Shapes
mdb-1883,fr-auvergne-rhone-alpes-tac-gtfs-1883,Feed Information
mdb-1883,fr-auvergne-rhone-alpes-tac-gtfs-1883,Route Colors
mdb-1883,fr-auvergne-rhone-alpes-tac-gtfs-1883,Headsigns
mdb-1883,fr-auvergne-rhone-alpes-tac-gtfs-1883,Wheelchair Accessibility
mdb-1883,fr-auvergne-rhone-alpes-tac-gtfs-1883,Bikes Allowance
mdb-1883,fr-auvergne-rhone-alpes-tac-gtfs-1883,Location Types
mdb-266,us-washington-intercity-transit-gtfs-266,Transfers
mdb-266,us-washington-intercity-transit-gtfs-266,Fares V1
mdb-266,us-washington-intercity-transit-gtfs-266,Shapes
mdb-266,us-washington-intercity-transit-gtfs-266,Feed Information
mdb-266,us-washington-intercity-transit-gtfs-266,Route Colors
mdb-266,us-washington-intercity-transit-gtfs-266,Headsigns
mdb-266,us-washington-intercity-transit-gtfs-266,Wheelchair Accessibility
mdb-266,us-washington-intercity-transit-gtfs-266,Bikes Allowance
mdb-266,us-washington-intercity-transit-gtfs-266,Location Types
mdb-235,us-virginia-blackstone-area-bus-service-gtfs-235,Fares V1
mdb-235,us-virginia-blackstone-area-bus-service-gtfs-235,Shapes
mdb-235,us-virginia-blackstone-area-bus-service-gtfs-235,Feed Information
mdb-235,us-virginia-blackstone-area-bus-service-gtfs-235,Route Colors
mdb-235,us-virginia-blackstone-area-bus-service-gtfs-235,Wheelchair Accessibility
mdb-235,us-virginia-blackstone-area-bus-service-gtfs-235,Location Types
mdb-235,us-virginia-blackstone-area-bus-service-gtfs-235,Continuous Stops
mdb-2010,br-ceara-metrofor-gtfs-2010,Route Colors
mdb-2010,br-ceara-metrofor-gtfs-2010,Headsigns
mdb-2010,br-ceara-metrofor-gtfs-2010,Location Types
mdb-1110,us-north-carolina-wave-transit-gtfs-1110,Fares V1
mdb-1110,us-north-carolina-wave-transit-gtfs-1110,Shapes
mdb-1110,us-north-carolina-wave-transit-gtfs-1110,Feed Information
mdb-1110,us-north-carolina-wave-transit-gtfs-1110,Route Colors
mdb-516,us-new-york-mta-new-york-city-transit-mta-gtfs-516,Transfers
mdb-516,us-new-york-mta-new-york-city-transit-mta-gtfs-516,Shapes
mdb-516,us-new-york-mta-new-york-city-transit-mta-gtfs-516,Route Colors
mdb-516,us-new-york-mta-new-york-city-transit-mta-gtfs-516,Headsigns
mdb-516,us-new-york-mta-new-york-city-transit-mta-gtfs-516,Location Types
mdb-313,us-colorado-clear-creek-county-transit-gtfs-313,Transfers
mdb-313,us-colorado-clear-creek-county-transit-gtfs-313,Shapes
mdb-313,us-colorado-clear-creek-county-transit-gtfs-313,Feed Information
mdb-313,us-colorado-clear-creek-county-transit-gtfs-313,Route Colors
mdb-313,us-colorado-clear-creek-county-transit-gtfs-313,Wheelchair Accessibility
mdb-313,us-colorado-clear-creek-county-transit-gtfs-313,Location Types
mdb-313,us-colorado-clear-creek-county-transit-gtfs-313,Continuous Stops
mdb-414,us-michigan-suburban-mobility-authority-for-regional-transit-smart-gtfs-414,Shapes
